"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NECAP2",1.5419428137569e-42,0.453693312536428,0.276,0.065,4.06024381718467e-38,"9","NECAP2"
"UQCRC2",1.57254863037677e-42,0.533534628362448,0.312,0.081,4.14083505350812e-38,"9","UQCRC2"
"CMPK1",1.77060465826069e-42,0.531531783352299,0.316,0.084,4.66235618613205e-38,"9","CMPK1"
"SYNE21",3.17074214659108e-42,0.488378540251964,0.306,0.077,8.34919822040363e-38,"9","SYNE2"
"DUOXA2",4.67496304383597e-42,0.804005340932137,0.26,0.057,1.23101126870289e-37,"9","DUOXA2"
"TUFM",4.7168365441383e-42,0.54140053107532,0.467,0.162,1.2420373988025e-37,"9","TUFM"
"MAST4",5.00326119167885e-42,0.528761317187175,0.411,0.129,1.31745873699287e-37,"9","MAST4"
"BLVRB",5.34823264795319e-42,0.425070397152203,0.263,0.06,1.40829662085903e-37,"9","BLVRB"
"NEDD4L",6.33547300710419e-42,0.454440177267472,0.365,0.105,1.66825675223068e-37,"9","NEDD4L"
"FLNB",6.46024356068893e-42,0.522500403165449,0.49,0.173,1.70111133440061e-37,"9","FLNB"
"CARHSP11",7.90939895844827e-42,0.551848436469796,0.477,0.163,2.0827029337386e-37,"9","CARHSP1"
"DIAPH1",9.85479267853408e-42,0.544825978368114,0.355,0.103,2.59496400811159e-37,"9","DIAPH1"
"DUSP23",1.04661042812144e-41,0.411229257553108,0.263,0.06,2.75593457932938e-37,"9","DUSP23"
"APH1A",1.26848321710783e-41,0.496453059249186,0.428,0.14,3.34017000728834e-37,"9","APH1A"
"ERBB31",2.06377865489363e-41,0.659455205316193,0.431,0.142,5.4343419540659e-37,"9","ERBB3"
"MPRIP",2.44493696455512e-41,0.449517435094411,0.286,0.071,6.43800801506655e-37,"9","MPRIP"
"RAB10",4.27415866987979e-41,0.345212394895465,0.391,0.118,1.12547146095275e-36,"9","RAB10"
"DDX5",4.64028053368794e-41,0.506375203493158,0.628,0.258,1.22187867013071e-36,"9","DDX5"
"COX5A",5.05408540136129e-41,0.294763702138554,0.497,0.175,1.33084176788646e-36,"9","COX5A"
"MTRNR2L12",7.70761414949891e-41,0.616698931783594,0.549,0.213,2.02956895784605e-36,"9","MTRNR2L12"
"NCAM1",8.7767919627785e-41,0.947433729787126,0.322,0.091,2.31110485963884e-36,"9","NCAM1"
"ZNF503",1.07748685582418e-40,0.406158732444933,0.263,0.061,2.83723838875624e-36,"9","ZNF503"
"CA12",1.08842503641954e-40,0.684292884579934,0.257,0.06,2.86604080589993e-36,"9","CA12"
"TPI1",1.1479103364339e-40,0.615830016356679,0.697,0.314,3.02267749789774e-36,"9","TPI1"
"HOMER2",1.17771031106212e-40,0.705753199027937,0.345,0.101,3.10114679108876e-36,"9","HOMER2"
"RNF213",1.68827104776698e-40,0.404797426409488,0.26,0.06,4.44555532298002e-36,"9","RNF213"
"SUN2",4.15960719193773e-40,0.311128767553494,0.408,0.13,1.09530776578104e-35,"9","SUN2"
"MT1E",4.47231416731069e-40,0.593780067917214,0.257,0.059,1.17764976653625e-35,"9","MT1E"
"GOT2",4.48247100997472e-40,0.642402415040002,0.345,0.1,1.18032426634654e-35,"9","GOT2"
"CERS2",4.82142547700215e-40,0.536190008656061,0.487,0.174,1.26957775660421e-35,"9","CERS2"
"PPP2R4",6.06491072072151e-40,0.536077362481564,0.408,0.132,1.59701229098039e-35,"9","PPP2R4"
"CKS1B",1.06899952041683e-39,0.455150088285123,0.25,0.057,2.81488953716159e-35,"9","CKS1B"
"GSTK1",1.33582800131423e-39,0.519978119350639,0.326,0.092,3.51750229306064e-35,"9","GSTK1"
"COX7C1",1.4060255680159e-39,0.609486214822226,0.78,0.389,3.70234652569946e-35,"9","COX7C"
"VPS37B",1.5699529934291e-39,0.50479988010121,0.28,0.071,4.13400022229751e-35,"9","VPS37B"
"MIDN1",2.20838815068423e-39,0.484199121098122,0.569,0.224,5.81512767838172e-35,"9","MIDN"
"LDLR3",2.75435329290048e-39,0.723296391227396,0.493,0.188,7.25276309086555e-35,"9","LDLR"
"ELOVL1",3.55401444684017e-39,0.42750571464944,0.355,0.106,9.35843084141953e-35,"9","ELOVL1"
"ISYNA1",3.60595334745195e-39,0.401301823863456,0.372,0.114,9.49519635451046e-35,"9","ISYNA1"
"RNPEP",3.83022504168247e-39,0.502766372030734,0.326,0.091,1.00857485797583e-34,"9","RNPEP"
"BRI32",4.07182301313742e-39,0.390210273951127,0.602,0.247,1.07219243581934e-34,"9","BRI3"
"DSP2",5.87920848296195e-39,0.493279614043108,0.582,0.234,1.54811317773354e-34,"9","DSP"
"EIF6",7.61951785309008e-39,0.439417118352068,0.352,0.104,2.00637144107568e-34,"9","EIF6"
"ARL6IP5",1.07003950837318e-38,0.356061809997062,0.355,0.105,2.81762803344826e-34,"9","ARL6IP5"
"SET",1.17312867009433e-38,0.51506290641729,0.562,0.223,3.08908241409238e-34,"9","SET"
"SYNCRIP",1.57072495604187e-38,0.563590942025288,0.289,0.076,4.13603295424946e-34,"9","SYNCRIP"
"HMGN1",1.59349377818198e-38,0.422090982203805,0.543,0.215,4.19598781670879e-34,"9","HMGN1"
"MAP2K3",1.78844733104047e-38,0.513458534217611,0.329,0.094,4.70933951209577e-34,"9","MAP2K3"
"HEBP2",1.85227912323661e-38,0.366507420289874,0.273,0.069,4.87742138730665e-34,"9","HEBP2"
"PPP1CA",1.95843292897821e-38,0.449203488157405,0.378,0.116,5.15694558858543e-34,"9","PPP1CA"
"CDK16",2.06144849488288e-38,0.366456085210138,0.398,0.128,5.4282061767256e-34,"9","CDK16"
"PABPC11",2.6767469130859e-38,0.484065114496211,0.655,0.289,7.04840997153779e-34,"9","PABPC1"
"BAG6",2.883020434679e-38,0.363546129192585,0.375,0.116,7.59156940859674e-34,"9","BAG6"
"CYC1",2.93909189398604e-38,0.415254151779072,0.421,0.142,7.73921677524404e-34,"9","CYC1"
"MT-RNR21",3.21085137065057e-38,0.60304566749198,1,0.981,8.45481382919708e-34,"9","MT-RNR2"
"NUPR11",3.33409898296158e-38,0.263882997457191,0.253,0.059,8.77934944193443e-34,"9","NUPR1"
"NFIC2",3.41838404492574e-38,0.370032468710091,0.589,0.236,9.00128886709846e-34,"9","NFIC"
"CALR2",4.23754331658484e-38,0.578697024703493,0.753,0.354,1.11582990612312e-33,"9","CALR"
"TMEM87A",4.30036483366944e-38,0.458568583944885,0.286,0.075,1.13237206800184e-33,"9","TMEM87A"
"NEAT12",4.43547382412987e-38,0.480279309828529,0.753,0.34,1.16794896736988e-33,"9","NEAT1"
"SDHC1",5.31897262478162e-38,0.340487356519004,0.47,0.169,1.4005918715575e-33,"9","SDHC"
"CXXC51",5.7038843409451e-38,0.55901094779988,0.586,0.243,1.50194682465766e-33,"9","CXXC5"
"GLUL",1.00910647564549e-37,0.553524358033196,0.391,0.127,2.65717917166971e-33,"9","GLUL"
"POLD4",1.07926460450464e-37,0.419970745991288,0.336,0.098,2.84191955658162e-33,"9","POLD4"
"CTBP2",1.29785520908389e-37,0.464878589285315,0.253,0.061,3.41751233655971e-33,"9","CTBP2"
"RBM47",1.90402974887187e-37,0.379331297434752,0.309,0.085,5.0136911347294e-33,"9","RBM47"
"LASP1",2.70251226271854e-37,0.388395569214122,0.368,0.116,7.11625529019046e-33,"9","LASP1"
"BCL2L1",3.05896543179176e-37,0.507642530937512,0.447,0.161,8.05486777499406e-33,"9","BCL2L1"
"TRIM8",3.46581568742009e-37,0.392022846140451,0.28,0.073,9.12618586811458e-33,"9","TRIM8"
"RNH11",3.58704527072408e-37,0.33322304722055,0.484,0.176,9.44540760687064e-33,"9","RNH1"
"MKNK2",4.41712162243385e-37,0.52677569370935,0.336,0.1,1.16311646561928e-32,"9","MKNK2"
"KIAA1191",6.74358990026465e-37,0.590209425075341,0.365,0.116,1.77572209253769e-32,"9","KIAA1191"
"H3F3B",8.29644541244178e-37,0.601363002638433,0.845,0.451,2.18462000600417e-32,"9","H3F3B"
"RAB8A",8.70873428179616e-37,0.258933295316988,0.26,0.063,2.29318391108256e-32,"9","RAB8A"
"CHMP4B",8.87832691643036e-37,0.511400458673789,0.53,0.214,2.33784104363444e-32,"9","CHMP4B"
"GABARAPL1",1.31324077188342e-36,0.297043237179323,0.493,0.184,3.45802560052343e-32,"9","GABARAPL1"
"TAX1BP1",1.50894158790072e-36,0.479431658966752,0.431,0.151,3.97334498926017e-32,"9","TAX1BP1"
"PGD",1.51688662357183e-36,0.520186952508124,0.355,0.111,3.99426585718933e-32,"9","PGD"
"WASF21",1.93570978836573e-36,0.321093196360829,0.497,0.188,5.09711101472465e-32,"9","WASF2"
"GDE1",1.9467124087243e-36,0.450129893714655,0.342,0.105,5.12608311465283e-32,"9","GDE1"
"QARS",2.73965059452021e-36,0.347132267563341,0.368,0.116,7.21404794549063e-32,"9","QARS"
"HIGD2A",3.18403796856338e-36,0.37181248520542,0.444,0.159,8.3842087788211e-32,"9","HIGD2A"
"GCC2",3.55701585330557e-36,0.396478919882129,0.345,0.106,9.36633414492422e-32,"9","GCC2"
"ARRDC3",5.02534420433886e-36,0.591992664469777,0.312,0.091,1.32327363588651e-31,"9","ARRDC3"
"TOP2B",6.22429729242408e-36,0.352429833193745,0.283,0.076,1.63898196304111e-31,"9","TOP2B"
"FNBP1L",6.25299106098089e-36,0.356806101109269,0.273,0.071,1.64653760617749e-31,"9","FNBP1L"
